Title,MovieID,Genres,Rating
Toy Story 2 (1999),3114,Animation|Children's|Comedy,4.218927444794953
Toy Story (1995),1,Animation|Children's|Comedy,4.146846413095811
Chicken Run (2000),3751,Animation|Children's|Comedy,3.8796087283671934
"Bug's Life, A (1998)",2355,Animation|Children's|Comedy,3.854374633000587
"American Tail, An (1986)",2141,Animation|Children's|Comedy,3.4282178217821784
Saludos Amigos (1943),3611,Animation|Children's|Comedy,3.066666666666667
Aladdin and the King of Thieves (1996),1064,Animation|Children's|Comedy,2.8947368421052633
"American Tail: Fievel Goes West, An (1991)",2142,Animation|Children's|Comedy,2.8308457711442787
"Rugrats Movie, The (1998)",2354,Animation|Children's|Comedy,2.780141843971631
"Adventures of Rocky and Bullwinkle, The (2000)",3754,Animation|Children's|Comedy,2.495145631067961
Labyrinth (1986),1967,Adventure|Children's|Fantasy,3.637184115523466
"NeverEnding Story, The (1984)",2161,Adventure|Children's|Fantasy,3.6051502145922747
"Goonies, The (1985)",2005,Adventure|Children's|Fantasy,3.4972067039106145
Darby O'Gill and the Little People (1959),2043,Adventure|Children's|Fantasy,3.2721518987341773
"Indian in the Cupboard, The (1995)",60,Adventure|Children's|Fantasy,3.212885154061625
Jumanji (1995),2,Adventure|Children's|Fantasy,3.20114122681883
Escape to Witch Mountain (1975),1009,Adventure|Children's|Fantasy,3.185567010309278
Santa Claus: The Movie (1985),2399,Adventure|Children's|Fantasy,2.6681614349775784
"NeverEnding Story II: The Next Chapter, The (1990)",2162,Adventure|Children's|Fantasy,2.4124293785310735
Kids of the Round Table (1995),56,Adventure|Children's|Fantasy,2.0
"Philadelphia Story, The (1940)",898,Comedy|Romance,4.3006872852233675
Roman Holiday (1953),916,Comedy|Romance,4.216470588235294
"Lady Eve, The (1941)",2935,Comedy|Romance,4.1931034482758625
Annie Hall (1977),1230,Comedy|Romance,4.14167916041979
Shakespeare in Love (1998),2396,Comedy|Romance,4.127479949345715
Ninotchka (1939),936,Comedy|Romance,4.075757575757576
When Harry Met Sally... (1989),1307,Comedy|Romance,4.073341836734694
"Quiet Man, The (1952)",1226,Comedy|Romance,4.053097345132743
